Episode,Steps,Reward
945,174,15.07513228
946,131,15.07082452
947,168,15.07074974
948,194,15.08438819
949,172,15.08429926
950,176,15.09157895
951,171,15.09463722
952,156,15.1039916
953,163,15.10703043
954,192,15.1163522
955,167,15.11832461
956,180,15.13075314
957,121,15.12539185
958,173,15.12839248
959,120,15.1261731
960,194,15.140625
961,190,15.14880333
962,154,15.14656965
963,198,15.15680166
964,189,15.16182573
965,150,15.1626943
966,199,15.17701863
967,154,15.1778697
968,110,15.17045455
969,156,15.17131063
970,133,15.16597938
971,159,15.17198764
972,199,15.18621399
973,116,15.17985612
974,161,15.18583162
975,192,15.19076923
976,178,15.19159836
977,127,15.18628454
978,114,15.17893661
979,150,15.17977528
980,152,15.17755102
981,185,15.1783894
982,168,15.18126273
983,117,15.17497457
984,169,15.17378049
985,141,15.16954315
986,135,15.1653144
987,209,15.17122594
988,179,15.17105263
989,135,15.16683519
990,164,15.16969697
991,194,15.18264379
992,157,15.18447581
993,166,15.19033233
994,201,15.20020121
995,172,15.20201005
996,128,15.19678715
997,166,15.19658977
998,96,15.18737475
999,144,15.18718719
1000,181,15.2
1001,150,15.2007992
1002,116,15.19461078
1003,195,15.20338983
1004,131,15.20219124
1005,195,15.2159204
1006,144,15.21272366
1007,205,15.22740814
1008,205,15.24107143
1009,158,15.23984143
1010,169,15.23960396
1011,177,15.2512364
1012,159,15.25296443
1013,147,15.25271471
1014,169,15.25838264
1015,155,15.26009852
1016,180,15.2726378
1017,167,15.28220256
1018,158,15.28094303
1019,158,15.29048086
1020,175,15.29705882
1021,169,15.30264447
1022,189,15.3111546
1023,160,15.32062561
1024,188,15.33300781
1025,198,15.34243902
1026,213,15.35769981
1027,173,15.36027264
1028,147,15.35700389
1029,125,15.35471331
1030,164,15.35533981
1031,164,15.35790495
1032,198,15.36434109
1033,153,15.36205227
1034,176,15.36847195
1035,205,15.3826087
1036,125,15.37644788
1037,115,15.37029894
1038,155,15.37186898
1039,118,15.36862368
1040,158,15.36634615
1041,173,15.36887608
1042,183,15.38003839
1043,158,15.38159156
1044,191,15.39272031
1045,178,15.39904306
1046,171,15.4082218
1047,180,15.40878701
1048,193,15.42080153
1049,187,15.42421354
1050,202,15.43809524
1051,139,15.4338725
1052,169,15.43631179
1053,181,15.43969611
1054,172,15.43833017
1055,162,15.43886256
1056,141,15.43560606
1057,107,15.42857143
1058,151,15.42911153
1059,160,15.4305949
1060,189,15.44150943
1061,192,15.44674835
1062,187,15.45762712
1063,222,15.46190028
1064,166,15.46710526
1065,203,15.47981221
1066,189,15.48311445
1067,202,15.48828491
1068,145,15.48782772
1069,165,15.48643592
1070,191,15.49813084
1071,156,15.49953315
1072,134,15.49533582
1073,168,15.49767008
1074,200,15.51024209
1075,175,15.50883721
1076,167,15.50836431
1077,188,15.51903435
1078,165,15.52411874
1079,197,15.53660797
1080,152,15.54074074
1081,139,15.53746531
1082,193,15.53789279
1083,191,15.54293629
1084,156,15.54704797
1085,184,15.55852535
1086,145,15.55524862
1087,159,15.55657774
1088,161,15.55790441
1089,193,15.56290174
1090,200,15.57522936
1091,167,15.57653529
1092,201,15.58516484
1093,203,15.59743824
1094,200,15.60329068
1095,149,15.60365297
1096,157,15.6040146
1097,151,15.60072926
1098,203,15.6129326
1099,206,15.62238399
1100,136,15.61818182
1101,161,15.61943688
1102,193,15.62704174
1103,160,15.62466002
1104,193,15.63586957
1105,165,15.63348416
1106,187,15.64466546
1107,174,15.64679313
1108,194,15.65162455
1109,174,15.65464382
1110,166,15.65225225
1111,185,15.65166517
1112,187,15.6573741
1113,187,15.66127583
1114,172,15.66337522
1115,161,15.67174888
1116,199,15.68369176
1117,116,15.67770815
1118,214,15.69141324
1119,136,15.6899017
1120,192,15.69553571
1121,187,15.69937556
1122,145,15.69607843
1123,158,15.69456812
1124,176,15.69661922
1125,129,15.69155556
1126,139,15.69005329
1127,162,15.69121562
1128,182,15.69148936
1129,195,15.69884854
1130,135,15.69557522
1131,188,15.70557029
1132,166,15.7040636
1133,195,15.71491615
1134,187,15.72574956
1135,183,15.72511013
1136,198,15.73679577
1137,175,15.74670185
1138,199,15.75483304
1139,167,15.76382792
1140,160,15.76403509
1141,157,15.76248904
1142,183,15.76795096
1143,142,15.76727909
1144,188,15.77097902
1145,159,15.7720524
1146,187,15.77574171
1147,163,15.77419355
1148,188,15.78484321
1149,169,15.79286336
1150,149,15.78956522
1151,175,15.7949609
1152,169,15.80381944
1153,186,15.8048569
1154,212,15.8102253
1155,171,15.80779221
1156,184,15.81055363
1157,198,15.81763181
1158,168,15.81692573
1159,164,15.82484901
1160,185,15.825
1161,171,15.82687339
1162,123,15.82444062
1163,204,15.83662941
1164,188,15.84621993
1165,184,15.85236052
1166,187,15.85591767
1167,149,15.85604113
1168,175,15.85445205
1169,190,15.85799829
1170,140,15.85641026
1171,186,15.86507259
1172,195,15.87627986
1173,165,15.88064791
1174,167,15.88245315
1175,177,15.88255319
1176,174,15.8877551
1177,200,15.8988955
1178,178,15.89813243
1179,195,15.90245971
1180,202,15.91271186
1181,167,15.91447925
1182,212,15.92639594
1183,189,15.93575655
1184,196,15.94003378
1185,197,15.95021097
1186,128,15.94519393
1187,164,15.95282224
1188,168,15.95454545
1189,206,15.96635828
1190,156,15.96386555
1191,187,15.96725441
1192,212,15.97986577
1193,179,15.98155909
1194,196,15.98743719
1195,170,15.98661088
1196,195,15.99665552
1197,137,15.9924812
1198,146,15.98914858
1199,204,15.99249374
1200,184,15.99583333
1201,148,15.99250624
1202,190,15.99584027
1203,158,15.99418121
1204,147,15.99086379
1205,177,15.99253112
1206,211,16.00497512
1207,203,16.01574151
1208,167,16.01407285
1209,191,16.02315964
1210,106,16.01570248
1211,162,16.02312139
1212,170,16.02475248
1213,174,16.02390767
1214,109,16.01729819
1215,201,16.02222222
1216,168,16.02631579
1217,92,16.01807724
1218,172,16.0270936
1219,133,16.02543068
1220,122,16.0204918
1221,151,16.01965602
1222,184,16.02782324
1223,147,16.02780049
1224,175,16.03022876
1225,186,16.03020408
