Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
1040,473,84.94291755,84.94291755,84.94291755
1080,474,84.89662447,84.89662447,84.89662447
1167,475,84.91578947,84.91578947,84.91578947
1469,476,85.39495798,85.39495798,85.39495798
9676,477,85.95807128,85.95807128,85.95807128
1306,478,86.33891213,86.33891213,86.33891213
1153,479,86.36743215,86.36743215,86.36743215
825,480,86.26458333,86.26458333,86.26458333
755,481,86.15384615,86.15384615,86.15384615
1436,482,86.65145228,86.65145228,86.65145228
1342,483,86.99585921,86.99585921,86.99585921
1664,484,87.58264463,87.58264463,87.58264463
946,485,87.48865979,87.48865979,87.48865979
1409,486,87.97942387,87.97942387,87.97942387
1495,487,88.48049281,88.48049281,88.48049281
1459,488,88.81967213,88.81967213,88.81967213
993,489,88.79345603,88.79345603,88.79345603
1323,490,89.18163265,89.18163265,89.18163265
1387,491,89.56619145,89.56619145,89.56619145
1670,492,90.10162602,90.10162602,90.10162602
1522,493,90.54969574,90.54969574,90.54969574
1391,494,90.99595142,90.99595142,90.99595142
1034,495,90.90505051,90.90505051,90.90505051
1175,496,90.97580645,90.97580645,90.97580645
1209,497,91.03219316,91.03219316,91.03219316
1456,498,91.53413655,91.53413655,91.53413655
1182,499,91.56713427,91.56713427,91.56713427
456,500,91.416,91.416,91.416
1324,501,91.78243513,91.78243513,91.78243513
1011,502,91.687251,91.687251,91.687251
616,503,91.54870775,91.54870775,91.54870775
930,504,91.4265873,91.4265873,91.4265873
940,505,91.34257426,91.34257426,91.34257426
1151,506,91.37351779,91.37351779,91.37351779
1137,507,91.59763314,91.59763314,91.59763314
3529,508,92.11220472,92.11220472,92.11220472
1064,509,92.14734774,92.14734774,92.14734774
413,510,91.98823529,91.98823529,91.98823529
1409,511,92.37181996,92.37181996,92.37181996
1355,512,92.80859375,92.80859375,92.80859375
665,513,92.68615984,92.68615984,92.68615984
954,514,92.57782101,92.57782101,92.57782101
1050,515,92.60776699,92.60776699,92.60776699
1097,516,92.63178295,92.63178295,92.63178295
1311,517,93.01353965,93.01353965,93.01353965
1388,518,93.4015444,93.4015444,93.4015444
1442,519,93.85163776,93.85163776,93.85163776
1366,520,94.30384615,94.30384615,94.30384615
1108,521,94.33397313,94.33397313,94.33397313
1049,522,94.27777778,94.27777778,94.27777778
997,523,94.19120459,94.19120459,94.19120459
890,524,94.08587786,94.08587786,94.08587786
909,525,94.03809524,94.03809524,94.03809524
889,526,93.9391635,93.9391635,93.9391635
990,527,93.90512334,93.90512334,93.90512334
805,528,93.83143939,93.83143939,93.83143939
1477,529,94.21928166,94.21928166,94.21928166
866,530,94.11509434,94.11509434,94.11509434
756,531,93.97175141,93.97175141,93.97175141
1325,532,94.33270677,94.33270677,94.33270677
1554,533,94.83864916,94.83864916,94.83864916
972,534,94.75655431,94.75655431,94.75655431
